Unnamed: 0,Unnamed: 0.1,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
519,7,520,309888524.0,0.0,0.0,0.0,128.0,1.5071640443476705e+18,retweeted,"RT @silvipeppers: “Lmao die mad bitch 😘💋✨”
#Jaskier #TheWitcher https://t.co/PcUVhi9n5m",neutral,1,520,2022-11-16T23:17:24.261175Z,2022-11-16T23:17:24.261224Z,7.522
518,6,519,309888524.0,0.0,0.0,0.0,113.0,1.5068152780756828e+18,retweeted,"RT @silvipeppers: All my buddies are doing it 👀💦
#GeraltOfRivia #TheWitcher https://t.co/qRLI4NkX1p",neutral,1,519,2022-11-16T23:17:16.404642Z,2022-11-16T23:17:16.404693Z,2.733
517,5,518,1.5514462248590213e+18,0.0,0.0,0.0,440.0,1.5737628268161595e+18,retweeted,"RT @irina_meier_: Triss, Yen, Keira or Sabrina? Which one suits me the best? 🤔

#cosplayer #TheWitcher https://t.co/v7cnYrQODC",neutral,1,518,2022-11-16T23:17:13.314035Z,2022-11-16T23:17:13.314087Z,2.445
516,4,517,1.1428595166247364e+18,0.0,0.0,0.0,19.0,1.5758133163995955e+18,retweeted,"RT @FictionalPhotos: Fiery 🔥🐺⚔️
#thewitcher #geralt #henrycavill https://t.co/GcK38kFI7G",neutral,1,517,2022-11-16T23:17:10.537163Z,2022-11-16T23:17:10.537214Z,0.94
515,3,516,309888524.0,0.0,0.0,0.0,36.0,1.4534534770159206e+18,retweeted,"RT @ookamimagami: ""stay with me ... please""
Strigoi(monster) AU 
#geraskier #gerlion #TheWitcher #GeraltofRivia #Jaskier #глютик #герлютик…",neutral,1,516,2022-11-16T23:17:09.150127Z,2022-11-16T23:17:09.150178Z,1.518
514,2,515,7.173393971721748e+17,0.0,0.0,0.0,0.0,,,"Buy gta 5 modded accounts https://t.co/GDzNDNHvYc🤑
 #xbox #xboxseriess #xboxdach #playstation5 #playstation #ps5 #ps4 #nintendo #nintendoswitch #nintendoswitchgames #gameover #controller #instagram #instalike #instagood #gaming #gamer #gamergirl #console #PS5Share #thewitcher",neutral,1,515,2022-11-16T23:17:07.309178Z,2022-11-16T23:17:07.309240Z,1.388
513,1,514,1.1278874450208276e+18,0.0,0.0,0.0,122.0,1.5758231319601723e+18,retweeted,"RT @felrija: Give Yennefer of Vengerberg a dagger in s3 again
#TheWitcher #Yennefer https://t.co/u2AU8zLR0s",neutral,1,514,2022-11-16T23:17:05.575465Z,2022-11-16T23:17:05.575516Z,1.939
512,0,513,7.608471565592904e+17,0.0,0.0,0.0,122.0,1.5758231319601723e+18,retweeted,"RT @felrija: Give Yennefer of Vengerberg a dagger in s3 again
#TheWitcher #Yennefer https://t.co/u2AU8zLR0s",neutral,1,513,2022-11-16T23:17:03.293548Z,2022-11-16T23:17:03.293605Z,2.324
511,7,512,165140243.0,0.0,0.0,0.0,129.0,1.5482520425226363e+18,retweeted,"RT @Sayuri527art: Mermay 2022 from my Patreon 🥰
For even more hot summer 🥵
#thewitcher #mermay #NSFW https://t.co/oa7BGsYKDL",neutral,1,512,2022-11-16T23:17:00.611150Z,2022-11-16T23:17:00.611202Z,2.126
510,6,511,1.1156257220333322e+18,0.0,0.0,0.0,42.0,1.5355677859583836e+18,retweeted,"RT @jinx_shaco: Priscilla getting the heart of the people

Priscilla by @niodreth 
Male by @tvitone1 
Map by @AmmoBlender 

#TheWitcher3 #T…",neutral,1,511,2022-11-16T23:16:58.142093Z,2022-11-16T23:16:58.142142Z,2.763
509,5,510,165140243.0,0.0,0.0,0.0,190.0,1.4902077087835546e+18,retweeted,"RT @Sayuri527art: 🤔 Who’s inspire who here 💫

#TheWitcher #geraskier https://t.co/W4Y00I9KNs",neutral,1,510,2022-11-16T23:16:55.033904Z,2022-11-16T23:16:55.033959Z,1.618
