index	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
214090	214076	1.521973859557249e+18	1.5082231277251666e+18	1743.0	67.0	10.0	167.0			📸 NEW | Simone stops by Madison Avenue in New York City earlier today following the #MetGala (May 4, 2022). #Bridgerton https://t.co/2vJsFlBIX1	0.0029	0.8931	0.104
218482	218468	1.5215028280778465e+18	8.96237802299433e+17	0.0	0.0	0.0	4174.0	1.5086684266795704e+18	retweeted	RT @gabrielaidan_: daphne everytime she sees anthony with kate #Bridgerton https://t.co/kjIvvCWs1R	0.0092	0.953	0.0378
90269	90269	1.547114623568167e+18	1.131955341372076e+18	0.0	0.0	0.0	844.0	1.5467755502696694e+18	retweeted	RT @kanthonydiarist: the sluttiest thing a man can do is shake his head in frustration because he's a gentleman and has to fight the urge t…	0.7411	0.2405	0.0184
207087	207073	1.5230742073027052e+18	1661680603.0	0.0	0.0	0.0	1.0	1.5229076299993006e+18	retweeted	RT @AfricanDoll__: But my intuition tells me she’s not currently with anyone as the majority are there for fame and didn’t know they’d all…	0.2104	0.7593	0.0303
188174	188160	1.5257811003579023e+18	2648431924.0	0.0	0.0	1.0	0.0	1.5257796858079928e+18	replied_to	Pen was terrible for this how is this better than telling her the truth #Bridgerton	0.9293	0.0653	0.0055
182651	182637	1.526187656656429e+18	179092430.0	0.0	0.0	0.0	58.0	1.507828865208574e+18	retweeted	"RT @darcyslizzy: breaking my silence…

#bridgerton https://t.co/NA5XPMnfJv"	0.0462	0.8614	0.0924
208801	208787	1.522747478336217e+18	1.4743904513481277e+18	0.0	0.0	0.0	193.0	1.5227117167060623e+18	retweeted	RT @dailykanthony: u know they genuinely had such a good time together on set #bridgerton https://t.co/qN0iFIkg04	0.002	0.0196	0.9784
156034	156020	1.5290992843223e+18	8.821165070265958e+17	0.0	0.0	0.0	946.0	1.5287073241011569e+18	retweeted	"RT @NetflixMY: Just 4 pics of some of my fav besties ❤️

🎥: #RRR #StrangerThings #AllOfUsAreDead #Bridgerton https://t.co/6oFWJ1a0fT"	0.0255	0.5241	0.4504
213604	213590	1.5220257047324303e+18	1.5154962226221138e+18	5.0	0.0	0.0	2.0			The birth of #Kanthony on Zoom...The chemistry 🥺♥️ #Bridgerton https://t.co/ri2CnrNs4R	0.0022	0.0293	0.9685
189800	189786	1.525519909467345e+18	1.2671173993520046e+18	0.0	0.0	0.0	64.0	1.5251018457937797e+18	retweeted	"RT @chaoticguitar: The eye contact and simultaneous exhales and height and passion and everything 🥵

#bridgerton #kanthony https://t.co/ozB…"	0.0293	0.4679	0.5028
72144	72144	1.5521834028031263e+18	1.3435744977697587e+18	0.0	0.0	0.0	1.0	1.5521744516343685e+18	retweeted	"RT @HITCnews: We already can't wait for the new season 😍 #Bridgerton 
https://t.co/liAYgs7hag"	0.0017	0.0136	0.9847
25861	25861	1.5667091426848276e+18	1.3435744977697587e+18	0.0	0.0	0.0	1.0	1.5667078298634609e+18	retweeted	"RT @blankdreams620: Please I want a #kanthony edit on the song ""Quietly yours"" by Birdy from Persuasion Netflix. Please someone send a word…"	0.0478	0.8077	0.1445
60732	60732	1.5555975763086623e+18	1.473204070148096e+18	10.0	0.0	1.0	1.0			"I cannot stay calm. I'm screaming 

#Bridgerton https://t.co/HbFpf3X2zK"	0.5676	0.357	0.0754
69322	69322	1.5531787786286694e+18	1.2107538213804933e+18	0.0	0.0	0.0	48.0	1.5528952515970785e+18	retweeted	"RT @MexicanFairyy: Season 1 foreshadowing Kanthony.
Part 1.

#Kanthony #kathony #KateSharma #anthonybridgerton #Bridgerton #simoneashley #j…"	0.0154	0.9447	0.0399
172599	172585	1.526623741320614e+18	1.360717067276673e+18	0.0	0.0	0.0	1005.0	1.526374442875732e+18	retweeted	"RT @bestbridgertons: ""I want a life that suits us both."" #Bridgerton #kanthony https://t.co/IpTJncLRFq"	0.007	0.5254	0.4676
114249	114245	1.5387409508217897e+18	445210753.0	0.0	0.0	0.0	32.0	1.5386791606878085e+18	retweeted	RT @Alexandriasgir1: Does anyone else really want a Benedict &amp; Penelope talking scene but also believe that would be too powerful.. or is t…	0.2201	0.7272	0.0527
164300	164286	1.5277524077777797e+18	1.3435744977697587e+18	0.0	0.0	0.0	22.0	1.527748011790676e+18	retweeted	RT @KathonyQuotes: “She had her face tipped up to the sun and was basking in its warmth. And for one extremely disconcerting moment, Anthon…	0.3625	0.5679	0.0696
211963	211949	1.522268295281488e+18	1.33381229476617e+18	0.0	0.0	0.0	572.0	1.5221518962233385e+18	retweeted	RT @chaoticguitar: Male leads in #bridgerton https://t.co/d3LeWzjpGe	0.007	0.9217	0.0713
83886	83886	1.5494714114918154e+18	26056598.0	0.0	0.0	0.0	42.0	1.5494423217788682e+18	retweeted	RT @iris_bee_: when Anthony says ‘Lilies.’ and leans forward and Kate closes her eyes because she thinks he’s about to kiss her… okay okay…	0.0441	0.8036	0.1523
106408	106408	1.541117667494568e+18	239396026.0	0.0	0.0	0.0	4.0	1.5411085114212188e+18	retweeted	RT @jelevision: the only love stories in S2 were Anthony/Kate and Anthony/Kate/and their selfless love for their family (which made them pu…	0.0129	0.3117	0.6754
96819	96819	1.545173143207166e+18	9.742843519438684e+17	0.0	0.0	0.0	350.0	1.545137382311088e+18	retweeted	"RT @HCAcritics: The nominees for Best Actress in a Streaming Drama Series are:

Britt Lower, #Severance
Jennifer Aniston, #TheMorningShow
L…"	0.0082	0.7055	0.2863
249944	249930	1.5182926873963848e+18	1.2929696960152207e+18	0.0	0.0	0.0	111.0	1.5178915521688412e+18	retweeted	"RT @jelevision: Mr. Brookes exiting left stage after getting the ring on Kate's finger like ""my job here is done"". He was a shipper like us…"	0.0148	0.7437	0.2415
169519	169505	1.5269790638183547e+18	1.2178337279186534e+18	0.0	0.0	0.0	681.0	1.5265859632872899e+18	retweeted	"RT @luztapiaart: Bridgerton Season 3 fanmade poster made by me 🦋🧁
@LukeNewtonUK @bridgerton @shondaland @shondarhimes  #bridgerton

❌NO REP…"	0.0054	0.7016	0.2929
99476	99476	1.544335976155304e+18	1332224149.0	0.0	0.0	0.0	0.0			"""It grieves me to think you do not believe you deserve all of the love in the world"" 🥺😭 #Bridgerton #bridgertonS2 https://t.co/1PaNoU8rYq"	0.7978	0.1524	0.0498
231731	231717	1.520154112452612e+18	1.3252982763048182e+18	0.0	0.0	0.0	197.0	1.5201299093388698e+18	retweeted	RT @swaying_daisies: “Until this moment,” Gregory said with a wince, “I'm not sure I understood exactly how much my brother loves you.”…	0.1448	0.5965	0.2587
220390	220376	1.5213175935791473e+18	802865142.0	0.0	0.0	0.0	0.0			"Steve Harvey is PURE EVIL.
Hate WHITES-rob BLACKS.
Use GOD-fool people
Like BLM.&gt;R.Kelly
#business #KurtBusch #HillaryClinton #Marilyn #black #PeteDavidson #Bridgerton #JustynRoss #Metro_Ents #vindiesel #USA #SHMS #Oprah #Metgala #F1 #NFL #Cardi @1 #Crime 
https://t.co/q393sDFzSj"	0.8173	0.1712	0.0114
