Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text,annotator,annotation_id,created_at,updated_at,lead_time,sentiment
531,27,1052,299725914.0,0.0,0.0,0.0,0.0,,,Finally watching #WolfOfWallStreet,1,1052,2022-11-16T17:00:45.147522Z,2022-11-16T17:00:45.147582Z,0.135,
530,26,1051,561820434.0,0.0,0.0,0.0,0.0,,,"Its a fugayzi, its a fugazi, its a wazzy, its a woozy.
#WolfOfWallStreet",1,1051,2022-11-16T17:00:44.715926Z,2022-11-16T17:00:44.716090Z,0.16,
529,25,1050,342539935.0,0.0,0.0,0.0,447.0,5.500248147866665e+17,retweeted,RT @netflix: You know what a fugazi is? #WolfOfWallStreet http://t.co/ZgngjWVTRZ,1,1050,2022-11-16T17:00:44.281509Z,2022-11-16T17:00:44.281558Z,0.132,
528,24,1049,557983808.0,2.0,0.0,0.0,0.0,,,"""If any of you think I'm superficial or materialistic, go get a job at McDonald's, because that's where you belong!!"" #WolfOfWallStreet",1,1049,2022-11-16T17:00:43.858700Z,2022-11-16T17:00:43.858731Z,0.156,
527,23,1048,137338454.0,0.0,0.0,0.0,0.0,,,Started 2014 with #WolfOfWallStreet  and end with #Ugly. Watched Master and his follower movies at year start And end consecutively.,1,1048,2022-11-16T17:00:43.421997Z,2022-11-16T17:00:43.422031Z,0.169,
526,22,1047,1167637656.0,0.0,0.0,0.0,1.0,,,Can I be Jordan Belfort 💸💊💰 #WolfOfWallStreet,1,1047,2022-11-16T17:00:42.975230Z,2022-11-16T17:00:42.975261Z,0.273,
525,21,1046,372040517.0,0.0,0.0,0.0,1.0,5.503586599693476e+17,retweeted,RT @JOsflow_doe: Can I be Jordan Belfort 💸💊💰 #WolfOfWallStreet,1,1046,2022-11-16T17:00:42.424122Z,2022-11-16T17:00:42.424153Z,0.241,
524,20,1045,707725116.0,2.0,0.0,0.0,2.0,,,illest alive #rolemodel #savage #WolfOfWallStreet http://t.co/K25bbNASI5,1,1045,2022-11-16T17:00:41.927091Z,2022-11-16T17:00:41.927127Z,0.307,neutral
523,19,1044,397505928.0,0.0,0.0,0.0,0.0,,,Just your average #NYE afro for  @sabinewilson #WolfOfWallStreet #lovehair Happy New Year to all of… http://t.co/qN7EDPINmK,1,1044,2022-11-16T17:00:41.345101Z,2022-11-16T17:00:41.345145Z,0.155,
522,18,1043,301886330.0,0.0,0.0,0.0,0.0,,,Watched #WolfOfWallStreet first time yesterday finally had time to catch up on a number of films during the holidays and what a great film,1,1043,2022-11-16T17:00:40.909077Z,2022-11-16T17:00:40.909112Z,0.154,
521,17,1042,2777148213.0,0.0,0.0,0.0,2.0,5.503649751525294e+17,retweeted,RT @e_barr11: illest alive #rolemodel #savage #WolfOfWallStreet http://t.co/K25bbNASI5,1,1042,2022-11-16T17:00:40.470105Z,2022-11-16T17:00:40.470138Z,0.11,
520,16,1041,2905919992.0,0.0,0.0,0.0,2.0,5.503649751525294e+17,retweeted,RT @e_barr11: illest alive #rolemodel #savage #WolfOfWallStreet http://t.co/K25bbNASI5,1,1041,2022-11-16T17:00:40.062960Z,2022-11-16T17:00:40.063000Z,0.139,
519,15,1040,216980415.0,1.0,0.0,0.0,0.0,,,Hopefully this is me by the end of the night #WOLF #WolfOfWallStreet http://t.co/DnpjWeM3YY,1,1040,2022-11-16T17:00:39.638385Z,2022-11-16T17:00:39.638420Z,0.137,
518,14,1039,2164737032.0,0.0,0.0,0.0,0.0,,,$OCFN making my premium members bank. #pennnystocks #daytrader #WolfOfWallStreet join us http://t.co/HH4ClEuyRG http://t.co/UIEvsjvSDg,1,1039,2022-11-16T17:00:39.220047Z,2022-11-16T17:00:39.220084Z,0.156,
517,13,1038,57409999.0,0.0,0.0,0.0,0.0,,,My only regret for 2014 is that I never tried some lemons...... #WolfOfWallStreet #lemons,1,1038,2022-11-16T17:00:38.774890Z,2022-11-16T17:00:38.774922Z,0.227,
516,12,1037,100404329.0,0.0,0.0,0.0,1.0,,,Hell nawww.. #wolfOfWallstreet http://t.co/zcTxrWnPDW,1,1037,2022-11-16T17:00:38.288443Z,2022-11-16T17:00:38.288542Z,0.263,
515,11,1036,431857100.0,0.0,0.0,0.0,1.0,5.503889240533238e+17,retweeted,RT @N3RRA: Hell nawww.. #wolfOfWallstreet http://t.co/zcTxrWnPDW,1,1036,2022-11-16T17:00:37.757821Z,2022-11-16T17:00:37.757853Z,0.375,positive
514,10,1035,263228425.0,0.0,0.0,0.0,0.0,,,"My highest rated films of 2014 were: #GrandBudapestHotel (5/5), #WolfOfWallStreet (5/5), #TheRaid2 (5/5), #WhatWeDoInTheShadows (5/5).1/2",1,1035,2022-11-16T17:00:37.129184Z,2022-11-16T17:00:37.129222Z,0.332,
513,9,1034,103761583.0,0.0,0.0,0.0,0.0,,,I LOVE Matthew McConaughey #WolfOfWallStreet,1,1034,2022-11-16T17:00:36.521667Z,2022-11-16T17:00:36.521700Z,0.518,neutral
512,8,1033,24343193.0,0.0,0.0,0.0,0.0,,,Finally finishing #WolfOfWallStreet and whaddayaknow? #AbFab's #JoannaLumley!!!!! #LeonardoDicaprio http://t.co/x7Pkk6Y9ks,1,1033,2022-11-16T17:00:35.731064Z,2022-11-16T17:00:35.731100Z,0.125,
511,7,1032,19130457.0,0.0,0.0,0.0,0.0,,,"So sad to hear about Edward Herrmann's death. May you rest in peace, Sir... #GilmoreGirls #GreysAnatomy #WolfofWallStreet &amp; many more...",1,1032,2022-11-16T17:00:35.304720Z,2022-11-16T17:00:35.304752Z,0.136,
510,6,1031,22266785.0,0.0,0.0,0.0,0.0,,,Watching #WolfOfWallStreet again and still can't get over how beautiful @MargotRobbie is 😍😍#WomanCrushWednesday #wcw,1,1031,2022-11-16T17:00:34.896853Z,2022-11-16T17:00:34.896886Z,0.136,
509,5,1030,28321577.0,0.0,0.0,0.0,0.0,,,I feel #WolfOfWallStreet will motivate me to some next levels!!,1,1030,2022-11-16T17:00:34.466952Z,2022-11-16T17:00:34.466989Z,0.128,
508,4,1029,34382204.0,0.0,0.0,0.0,0.0,,,Ladies that do bare coke and ting #wolfofwallstreet http://t.co/anYI22oHzn,1,1029,2022-11-16T17:00:34.072012Z,2022-11-16T17:00:34.072047Z,0.135,
507,3,1028,306406624.0,0.0,0.0,0.0,0.0,,,#WolfOfWallStreet .... Awesome....,1,1028,2022-11-16T17:00:33.637554Z,2022-11-16T17:00:33.637587Z,0.145,
506,2,1027,283740584.0,0.0,0.0,0.0,0.0,,,Happy new year to everyone. Bit early but I'm watching #WolfOfWallStreet now so laters potaterz,1,1027,2022-11-16T17:00:33.219440Z,2022-11-16T17:00:33.219474Z,0.184,
505,1,1026,24784977.0,0.0,0.0,0.0,0.0,,,Finally watched #WolfOfWallStreet,1,1026,2022-11-16T17:00:32.747930Z,2022-11-16T17:00:32.747961Z,0.185,
504,0,1025,1288987472.0,0.0,0.0,0.0,0.0,,,I feel like Occupy Wall Street wouldn't have lasted as long if they'd just let the wolf out to chase all the hippies away #WolfOfWallStreet,1,1025,2022-11-16T17:00:32.300307Z,2022-11-16T17:00:32.300343Z,0.184,
503,27,1024,32928881.0,0.0,0.0,0.0,1.0,5.389220385559716e+17,retweeted,RT @shadimacdonald: That movie had a lot of fucks and a lot of boobies #wolfofwallstreet #review http://t.co/lSJXxL7SiV,1,1024,2022-11-16T17:00:31.840230Z,2022-11-16T17:00:31.840308Z,0.131,
502,26,1023,78522285.0,0.0,0.0,0.0,0.0,,,Wolf Of Wall Street had even more nudity then what made it in the movie but had to cut it. #WolfOfWallStreet,1,1023,2022-11-16T17:00:31.433726Z,2022-11-16T17:00:31.433758Z,0.155,
501,25,1022,389692413.0,0.0,0.0,0.0,0.0,,,Wow #wolfofwallstreet has a lot of Fucks in it!,1,1022,2022-11-16T17:00:30.990198Z,2022-11-16T17:00:30.990693Z,0.141,
500,24,1021,2365730568.0,1.0,0.0,0.0,0.0,,,When you're having the time of your life at the party but the squad is ready to go... 😂😂😂 #wolfofwallstreet... https://t.co/kTiDZYjWnm,1,1021,2022-11-16T17:00:30.566513Z,2022-11-16T17:00:30.566544Z,0.164,
499,23,1020,202932616.0,2.0,0.0,0.0,0.0,,,when the Lemmon Quaaludes kicked in must be one of my fav movie scenes #wtfareyousaying #wolfofwallstreet😂😂😂,1,1020,2022-11-16T17:00:30.129982Z,2022-11-16T17:00:30.130066Z,0.198,
