Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
332,7,1385,727237887880794112,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,867,2022-11-16T17:35:54.040549Z,2022-11-16T17:54:11.544581Z,1.26
267,7,1320,890297641472536576,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,802,2022-11-16T17:26:00.730938Z,2022-11-16T17:53:59.796431Z,1.534
194,12,1247,1234895695024291841,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,729,2022-11-16T17:12:19.573542Z,2022-11-16T17:53:41.947156Z,1.534
193,11,1246,868501122083766272,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,728,2022-11-16T17:12:13.449896Z,2022-11-16T17:53:39.989233Z,3.1550000000000002
192,10,1245,1232244544961335296,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,727,2022-11-16T17:12:11.294603Z,2022-11-16T17:53:37.802397Z,1.153
191,9,1244,1615663003,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,726,2022-11-16T17:12:09.385390Z,2022-11-16T17:53:35.863163Z,2.9339999999999997
183,1,1236,1074734360832679937,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,718,2022-11-16T17:11:12.212239Z,2022-11-16T17:53:32.135961Z,1.3290000000000002
182,0,1235,1266419484253777920,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,717,2022-11-16T17:11:09.129586Z,2022-11-16T17:53:30.247517Z,1.24
181,12,1234,16519658,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,716,2022-11-16T17:11:07.063451Z,2022-11-16T17:53:28.247898Z,1.186
179,10,1232,906615390645579776,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,714,2022-11-16T17:11:00.652834Z,2022-11-16T17:53:25.144562Z,1.201
177,8,1230,1272465439508115458,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,712,2022-11-16T17:10:39.161276Z,2022-11-16T17:53:23.290429Z,1.5630000000000002
173,4,1226,1242248011092279296,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,708,2022-11-16T17:09:37.406451Z,2022-11-16T17:53:20.728266Z,5.148
171,2,1224,2573810534,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,706,2022-11-16T17:09:28.143923Z,2022-11-16T17:53:18.682977Z,1.171
149,6,1202,713960246180462592,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,684,2022-11-16T17:06:33.572221Z,2022-11-16T17:53:13.825446Z,3.452
112,8,1165,932452965507403777,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,647,2022-11-16T17:01:53.538569Z,2022-11-16T17:53:05.592607Z,7.116999999999999
67,2,1120,957094588593983490,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,600,2022-11-16T16:56:07.703147Z,2022-11-16T17:52:14.188163Z,23.100999999999996
77,12,1130,1394959176,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…",Neutral,1,610,2022-11-16T16:57:23.716186Z,2022-11-16T17:51:56.149544Z,5.626
519,12,1572,1495417868397453313,0,0,0,14929,1.5745214646649528e+18,retweeted,RT @TanyaLehoux: Ariel sketches 🧜‍♀️ #TheLittleMermaid https://t.co/0sbTRBbgLX,Neutral,1,1055,2022-11-16T17:50:39.242709Z,2022-11-16T17:50:39.242709Z,0.655
518,11,1571,857386070522159104,0,0,0,6559,1.575926414917849e+18,retweeted,RT @TanyaLehoux: “Come dance with me!” 🏰💕 Ariel and Cinderella #TheLittleMermaid #disney https://t.co/6Y9hek8XRQ,Neutral,1,1054,2022-11-16T17:50:36.623971Z,2022-11-16T17:50:36.623971Z,0.72
517,10,1570,2272998002,0,0,0,6559,1.575926414917849e+18,retweeted,RT @TanyaLehoux: “Come dance with me!” 🏰💕 Ariel and Cinderella #TheLittleMermaid #disney https://t.co/6Y9hek8XRQ,Neutral,1,1053,2022-11-16T17:50:33.985653Z,2022-11-16T17:50:33.985653Z,0.707
516,9,1569,878656200941940738,0,0,0,5377,1.575186573154361e+18,retweeted,RT @TanyaLehoux: Ariel sketches part 2! #TheLittleMermaid https://t.co/8GcbZws07e,Neutral,1,1052,2022-11-16T17:50:31.909121Z,2022-11-16T17:50:31.909121Z,0.822
515,8,1568,1253141152666054656,0,0,0,6559,1.575926414917849e+18,retweeted,RT @TanyaLehoux: “Come dance with me!” 🏰💕 Ariel and Cinderella #TheLittleMermaid #disney https://t.co/6Y9hek8XRQ,Neutral,1,1051,2022-11-16T17:50:29.742086Z,2022-11-16T17:50:29.742086Z,0.46
